Compiler GNU
 Version 9.2.1
 CFLAGS -Ofast -march=native -funroll-all-loops
Total memory allocated 3906 Mbytes 
Loop size              325 Mfloats
Loop min size          1024 floats
Loop max size          341333333 floats
min:1.754521 max:1.754521 avg:1.754521 count: 1 
1flop 1xfloat
size=1024 rep=333333 Mflop/s=3841.984 MByte/s=30735.871 
size=2048 rep=166666 Mflop/s=3974.059 MByte/s=31792.475 
size=4096 rep=83333 Mflop/s=4034.367 MByte/s=32274.933 
size=8192 rep=41666 Mflop/s=4058.541 MByte/s=32468.330 
size=16384 rep=20833 Mflop/s=4078.293 MByte/s=32626.345 
size=32768 rep=10416 Mflop/s=4086.204 MByte/s=32689.636 
size=65536 rep=5208 Mflop/s=4093.333 MByte/s=32746.664 
size=131072 rep=2604 Mflop/s=4061.210 MByte/s=32489.681 
size=262144 rep=1302 Mflop/s=4040.298 MByte/s=32322.388 
size=524288 rep=651 Mflop/s=3501.695 MByte/s=28013.556 
size=1048576 rep=325 Mflop/s=1373.687 MByte/s=10989.499 
size=2097152 rep=162 Mflop/s=1003.441 MByte/s=8027.525 
size=4194304 rep=81 Mflop/s=983.291 MByte/s=7866.331 
size=8388608 rep=40 Mflop/s=981.220 MByte/s=7849.762 
size=16777216 rep=20 Mflop/s=980.640 MByte/s=7845.123 
size=33554432 rep=10 Mflop/s=960.255 MByte/s=7682.044 
size=67108864 rep=5 Mflop/s=971.334 MByte/s=7770.675 
size=134217728 rep=2 Mflop/s=981.832 MByte/s=7854.658 
size=268435456 rep=1 Mflop/s=957.423 MByte/s=7659.382 
1flop 2xfloat
size=1024 rep=333333 Mflops=3094.191 MByte/s=24753.529 
size=2048 rep=166666 Mflops=3964.914 MByte/s=31719.309 
size=4096 rep=83333 Mflops=4019.897 MByte/s=32159.177 
size=8192 rep=41666 Mflops=4052.208 MByte/s=32417.667 
size=16384 rep=20833 Mflops=4076.168 MByte/s=32609.341 
size=32768 rep=10416 Mflops=4081.417 MByte/s=32651.337 
size=65536 rep=5208 Mflops=4050.301 MByte/s=32402.406 
size=131072 rep=2604 Mflops=4014.508 MByte/s=32116.060 
size=262144 rep=1302 Mflops=3567.424 MByte/s=28539.391 
size=524288 rep=651 Mflops=1196.803 MByte/s=9574.426 
size=1048576 rep=325 Mflops=700.281 MByte/s=5602.244 
size=2097152 rep=162 Mflops=701.534 MByte/s=5612.272 
size=4194304 rep=81 Mflops=703.111 MByte/s=5624.891 
size=8388608 rep=40 Mflops=693.092 MByte/s=5544.735 
size=16777216 rep=20 Mflops=693.950 MByte/s=5551.601 
size=33554432 rep=10 Mflops=707.672 MByte/s=5661.373 
size=67108864 rep=5 Mflops=700.959 MByte/s=5607.673 
size=134217728 rep=2 Mflops=707.451 MByte/s=5659.612 
size=268435456 rep=1 Mflops=711.292 MByte/s=5690.337 
1flop 3xfloat
size=1024 rep=333333 Mflops=8719.400 MByte/s=104632.801 
size=2048 rep=166666 Mflops=8393.447 MByte/s=100721.366 
size=4096 rep=83333 Mflops=6460.645 MByte/s=77527.737 
size=8192 rep=41666 Mflops=7430.907 MByte/s=89170.888 
size=16384 rep=20833 Mflops=8389.362 MByte/s=100672.347 
size=32768 rep=10416 Mflops=8248.178 MByte/s=98978.141 
size=65536 rep=5208 Mflops=8102.206 MByte/s=97226.474 
size=131072 rep=2604 Mflops=7840.695 MByte/s=94088.335 
size=262144 rep=1302 Mflops=2662.869 MByte/s=31954.429 
size=524288 rep=651 Mflops=555.355 MByte/s=6664.259 
size=1048576 rep=325 Mflops=545.192 MByte/s=6542.303 
size=2097152 rep=162 Mflops=534.262 MByte/s=6411.145 
size=4194304 rep=81 Mflops=548.260 MByte/s=6579.123 
size=8388608 rep=40 Mflops=541.765 MByte/s=6501.180 
