Total memory allocated 3906 Mbytes
Loop size              325 Mfloats
Loop min size          16384 floats
Loop max size          341333333 floats
min:3.686478 max:3.686478 avg:3.686478 count: 1 
1flop 1xfloat
size=16384 rep=20833 Mflop/s=979.298 MByte/s=3917.193 
size=32768 rep=10416 Mflop/s=981.841 MByte/s=3927.363 
size=65536 rep=5208 Mflop/s=980.406 MByte/s=3921.624 
size=131072 rep=2604 Mflop/s=982.626 MByte/s=3930.505 
size=262144 rep=1302 Mflop/s=981.798 MByte/s=3927.193 
size=524288 rep=651 Mflop/s=980.505 MByte/s=3922.021 
size=1048576 rep=325 Mflop/s=974.291 MByte/s=3897.165 
size=2097152 rep=162 Mflop/s=721.433 MByte/s=2885.734 
size=4194304 rep=81 Mflop/s=663.855 MByte/s=2655.418 
size=8388608 rep=40 Mflop/s=662.695 MByte/s=2650.781 
size=16777216 rep=20 Mflop/s=662.447 MByte/s=2649.786 
size=33554432 rep=10 Mflop/s=663.164 MByte/s=2652.656 
size=67108864 rep=5 Mflop/s=663.154 MByte/s=2652.616 
size=134217728 rep=2 Mflop/s=663.909 MByte/s=2655.637 
size=268435456 rep=1 Mflop/s=663.291 MByte/s=2653.162 
1flop 2xfloat
size=16384 rep=20833 Mflops=986.795 MByte/s=7894.359 
size=32768 rep=10416 Mflops=988.816 MByte/s=7910.527 
size=65536 rep=5208 Mflops=987.289 MByte/s=7898.313 
size=131072 rep=2604 Mflops=988.243 MByte/s=7905.947 
size=262144 rep=1302 Mflops=988.703 MByte/s=7909.626 
size=524288 rep=651 Mflops=964.575 MByte/s=7716.598 
size=1048576 rep=325 Mflops=486.951 MByte/s=3895.606 
size=2097152 rep=162 Mflops=410.542 MByte/s=3284.332 
size=4194304 rep=81 Mflops=409.573 MByte/s=3276.583 
size=8388608 rep=40 Mflops=409.502 MByte/s=3276.016 
size=16777216 rep=20 Mflops=408.616 MByte/s=3268.930 
size=33554432 rep=10 Mflops=406.886 MByte/s=3255.088 
size=67108864 rep=5 Mflops=410.242 MByte/s=3281.934 
size=134217728 rep=2 Mflops=409.137 MByte/s=3273.098 
size=268435456 rep=1 Mflops=410.011 MByte/s=3280.090 
1flop 3xfloat
size=16384 rep=20833 Mflops=1651.105 MByte/s=19813.264 
size=32768 rep=10416 Mflops=1660.233 MByte/s=19922.795 
size=65536 rep=5208 Mflops=1660.620 MByte/s=19927.435 
size=131072 rep=2604 Mflops=1630.304 MByte/s=19563.646 
size=262144 rep=1302 Mflops=1534.027 MByte/s=18408.323 
size=524288 rep=651 Mflops=635.493 MByte/s=7625.915 
size=1048576 rep=325 Mflops=305.404 MByte/s=3664.850 
size=2097152 rep=162 Mflops=302.936 MByte/s=3635.227 
size=4194304 rep=81 Mflops=302.727 MByte/s=3632.723 
size=8388608 rep=40 Mflops=302.053 MByte/s=3624.642 
size=16777216 rep=20 Mflops=302.123 MByte/s=3625.473 
size=33554432 rep=10 Mflops=301.519 MByte/s=3618.229 
size=67108864 rep=5 Mflops=301.970 MByte/s=3623.639 
size=134217728 rep=2 Mflops=301.488 MByte/s=3617.862 
size=268435456 rep=1 Mflops=302.014 MByte/s=3624.167 
4flop 3xfloat
size=16384 rep=20833 Mflops=2748.358 MByte/s=8245.075 
size=32768 rep=10416 Mflops=2754.142 MByte/s=8262.426 
size=65536 rep=5208 Mflops=2767.447 MByte/s=8302.341 
size=131072 rep=2604 Mflops=2763.123 MByte/s=8289.368 
size=262144 rep=1302 Mflops=2737.181 MByte/s=8211.543 
size=524288 rep=651 Mflops=2099.425 MByte/s=6298.276 
size=1048576 rep=325 Mflops=1161.097 MByte/s=3483.290 
size=2097152 rep=162 Mflops=1153.241 MByte/s=3459.723 
size=4194304 rep=81 Mflops=1152.003 MByte/s=3456.009 
size=8388608 rep=40 Mflops=1150.235 MByte/s=3450.706 
size=16777216 rep=20 Mflops=1142.122 MByte/s=3426.366 
size=33554432 rep=10 Mflops=1149.168 MByte/s=3447.503 
size=67108864 rep=5 Mflops=1147.997 MByte/s=3443.991 
size=134217728 rep=2 Mflops=1146.904 MByte/s=3440.713 
size=268435456 rep=1 Mflops=1147.350 MByte/s=3442.051 
6flop 3xfloat
size=16384 rep=20833 Mflops=3394.481 MByte/s=6788.962 
size=32768 rep=10416 Mflops=3367.526 MByte/s=6735.051 
size=65536 rep=5208 Mflops=3400.949 MByte/s=6801.899 
size=131072 rep=2604 Mflops=3400.386 MByte/s=6800.772 
size=262144 rep=1302 Mflops=3383.183 MByte/s=6766.365 
size=524288 rep=651 Mflops=2843.698 MByte/s=5687.395 
size=1048576 rep=325 Mflops=1730.949 MByte/s=3461.898 
size=2097152 rep=162 Mflops=1719.535 MByte/s=3439.071 
size=4194304 rep=81 Mflops=1716.218 MByte/s=3432.436 
size=8388608 rep=40 Mflops=1711.998 MByte/s=3423.997 
size=16777216 rep=20 Mflops=1709.981 MByte/s=3419.961 
size=33554432 rep=10 Mflops=1708.700 MByte/s=3417.399 
size=67108864 rep=5 Mflops=1705.038 MByte/s=3410.077 
size=134217728 rep=2 Mflops=1706.337 MByte/s=3412.674 
size=268435456 rep=1 Mflops=1708.800 MByte/s=3417.600 
8flop 3xfloat
size=16384 rep=20833 Mflops=3774.334 MByte/s=5661.501 
size=32768 rep=10416 Mflops=3782.804 MByte/s=5674.206 
size=65536 rep=5208 Mflops=3788.570 MByte/s=5682.854 
size=131072 rep=2604 Mflops=3788.969 MByte/s=5683.453 
size=262144 rep=1302 Mflops=3775.264 MByte/s=5662.896 
size=524288 rep=651 Mflops=3370.567 MByte/s=5055.851 
size=1048576 rep=325 Mflops=2293.263 MByte/s=3439.895 
size=2097152 rep=162 Mflops=2277.183 MByte/s=3415.774 
size=4194304 rep=81 Mflops=2272.109 MByte/s=3408.163 
size=8388608 rep=40 Mflops=2265.604 MByte/s=3398.405 
size=16777216 rep=20 Mflops=2266.548 MByte/s=3399.823 
size=33554432 rep=10 Mflops=2263.747 MByte/s=3395.621 
size=67108864 rep=5 Mflops=2261.997 MByte/s=3392.996 
size=134217728 rep=2 Mflops=2262.304 MByte/s=3393.456 
size=268435456 rep=1 Mflops=2263.596 MByte/s=3395.393 
10flop 3xfloat
size=16384 rep=20833 Mflops=4131.595 MByte/s=4957.914 
size=32768 rep=10416 Mflops=4135.929 MByte/s=4963.115 
size=65536 rep=5208 Mflops=4146.461 MByte/s=4975.754 
size=131072 rep=2604 Mflops=4144.202 MByte/s=4973.042 
size=262144 rep=1302 Mflops=4128.105 MByte/s=4953.726 
size=524288 rep=651 Mflops=3802.114 MByte/s=4562.536 
size=1048576 rep=325 Mflops=2805.502 MByte/s=3366.602 
size=2097152 rep=162 Mflops=2830.901 MByte/s=3397.081 
size=4194304 rep=81 Mflops=2832.886 MByte/s=3399.464 
size=8388608 rep=40 Mflops=2826.147 MByte/s=3391.376 
size=16777216 rep=20 Mflops=2819.998 MByte/s=3383.998 
size=33554432 rep=10 Mflops=2819.521 MByte/s=3383.426 
size=67108864 rep=5 Mflops=2819.281 MByte/s=3383.137 
size=134217728 rep=2 Mflops=2815.915 MByte/s=3379.098 
size=268435456 rep=1 Mflops=2821.191 MByte/s=3385.430 
12flop 3xfloat
size=16384 rep=20833 Mflops=4094.833 MByte/s=4094.833 
size=32768 rep=10416 Mflops=4107.189 MByte/s=4107.189 
