Compiler GNU
 Version 8.3.0
 CFLAGS -Ofast -march=native
Total memory allocated 488 Mbytes
Loop size              40 Mfloats
Loop min size          4096 floats
Loop max size          42666666 floats
min:4.402909 max:4.402909 avg:4.402909 count: 1 
1flop 1xfloat
size=4096 rep=10416 Mflop/s=32.739 MByte/s=130.956 
size=8192 rep=5208 Mflop/s=32.571 MByte/s=130.283 
size=16384 rep=2604 Mflop/s=32.586 MByte/s=130.343 
size=32768 rep=1302 Mflop/s=32.592 MByte/s=130.369 
size=65536 rep=651 Mflop/s=32.355 MByte/s=129.421 
size=131072 rep=325 Mflop/s=30.555 MByte/s=122.219 
size=262144 rep=162 Mflop/s=29.222 MByte/s=116.890 
size=524288 rep=81 Mflop/s=29.230 MByte/s=116.921 
size=1048576 rep=40 Mflop/s=28.857 MByte/s=115.426 
size=2097152 rep=20 Mflop/s=30.129 MByte/s=120.516 
size=4194304 rep=10 Mflop/s=30.088 MByte/s=120.353 
size=8388608 rep=5 Mflop/s=30.137 MByte/s=120.548 
size=16777216 rep=2 Mflop/s=30.271 MByte/s=121.085 
size=33554432 rep=1 Mflop/s=30.266 MByte/s=121.063 
1flop 2xfloat
size=4096 rep=10416 Mflops=33.957 MByte/s=271.654 
size=8192 rep=5208 Mflops=33.562 MByte/s=268.497 
size=16384 rep=2604 Mflops=33.443 MByte/s=267.541 
size=32768 rep=1302 Mflops=33.218 MByte/s=265.747 
size=65536 rep=651 Mflops=32.141 MByte/s=257.130 
size=131072 rep=325 Mflops=29.617 MByte/s=236.934 
size=262144 rep=162 Mflops=29.306 MByte/s=234.447 
size=524288 rep=81 Mflops=29.041 MByte/s=232.331 
size=1048576 rep=40 Mflops=28.929 MByte/s=231.433 
size=2097152 rep=20 Mflops=28.585 MByte/s=228.683 
size=4194304 rep=10 Mflops=29.307 MByte/s=234.455 
size=8388608 rep=5 Mflops=28.700 MByte/s=229.602 
size=16777216 rep=2 Mflops=28.495 MByte/s=227.957 
size=33554432 rep=1 Mflops=28.596 MByte/s=228.772 
1flop 3xfloat
size=4096 rep=10416 Mflops=66.966 MByte/s=803.590 
size=8192 rep=5208 Mflops=58.528 MByte/s=702.341 
size=16384 rep=2604 Mflops=46.671 MByte/s=560.051 
size=32768 rep=1302 Mflops=56.253 MByte/s=675.033 
size=65536 rep=651 Mflops=40.525 MByte/s=486.301 
size=131072 rep=325 Mflops=32.934 MByte/s=395.207 
size=262144 rep=162 Mflops=31.599 MByte/s=379.189 
size=524288 rep=81 Mflops=29.328 MByte/s=351.934 
size=1048576 rep=40 Mflops=27.441 MByte/s=329.286 
size=2097152 rep=20 Mflops=28.163 MByte/s=337.951 
size=4194304 rep=10 Mflops=30.160 MByte/s=361.925 
size=8388608 rep=5 Mflops=29.282 MByte/s=351.383 
size=16777216 rep=2 Mflops=30.489 MByte/s=365.869 
size=33554432 rep=1 Mflops=30.920 MByte/s=371.039 
4flop 3xfloat
size=4096 rep=10416 Mflops=70.897 MByte/s=212.692 
size=8192 rep=5208 Mflops=64.845 MByte/s=194.535 
