Compiler GNU
 Version 9.2.0
 CFLAGS -Ofast -march=native -funroll-all-loops -mavx2 -mavx
Total memory allocated 3906 Mbytes 
Loop size              325 Mfloats
Loop min size          1024 floats
Loop max size          341333333 floats
min:1.295331 max:1.295331 avg:1.295331 count: 1 
1flop 1xfloat
size=1024 rep=333333 Mflop/s=3758.469 MByte/s=30067.748 
size=2048 rep=166666 Mflop/s=3870.000 MByte/s=30959.997 
size=4096 rep=83333 Mflop/s=3919.953 MByte/s=31359.622 
size=8192 rep=41666 Mflop/s=3943.261 MByte/s=31546.086 
size=16384 rep=20833 Mflop/s=3967.287 MByte/s=31738.293 
size=32768 rep=10416 Mflop/s=3915.506 MByte/s=31324.048 
size=65536 rep=5208 Mflop/s=3988.605 MByte/s=31908.839 
size=131072 rep=2604 Mflop/s=3987.910 MByte/s=31903.277 
size=262144 rep=1302 Mflop/s=3964.577 MByte/s=31716.614 
size=524288 rep=651 Mflop/s=3969.453 MByte/s=31755.623 
size=1048576 rep=325 Mflop/s=3979.045 MByte/s=31832.361 
size=2097152 rep=162 Mflop/s=3313.386 MByte/s=26507.089 
size=4194304 rep=81 Mflop/s=2133.223 MByte/s=17065.784 
size=8388608 rep=40 Mflop/s=2095.704 MByte/s=16765.629 
size=16777216 rep=20 Mflop/s=2097.156 MByte/s=16777.246 
size=33554432 rep=10 Mflop/s=2121.381 MByte/s=16971.046 
size=67108864 rep=5 Mflop/s=2123.202 MByte/s=16985.620 
size=134217728 rep=2 Mflop/s=2076.938 MByte/s=16615.504 
size=268435456 rep=1 Mflop/s=2098.809 MByte/s=16790.476 
1flop 2xfloat
size=1024 rep=333333 Mflops=3754.005 MByte/s=30032.041 
size=2048 rep=166666 Mflops=3842.453 MByte/s=30739.624 
size=4096 rep=83333 Mflops=3917.811 MByte/s=31342.490 
size=8192 rep=41666 Mflops=3943.732 MByte/s=31549.852 
size=16384 rep=20833 Mflops=3976.257 MByte/s=31810.057 
size=32768 rep=10416 Mflops=3983.388 MByte/s=31867.106 
size=65536 rep=5208 Mflops=3962.511 MByte/s=31700.085 
size=131072 rep=2604 Mflops=3966.460 MByte/s=31731.681 
size=262144 rep=1302 Mflops=3975.971 MByte/s=31807.765 
size=524288 rep=651 Mflops=3968.346 MByte/s=31746.770 
size=1048576 rep=325 Mflops=3198.257 MByte/s=25586.058 
size=2097152 rep=162 Mflops=1883.951 MByte/s=15071.608 
size=4194304 rep=81 Mflops=1848.162 MByte/s=14785.297 
size=8388608 rep=40 Mflops=1824.884 MByte/s=14599.073 
size=16777216 rep=20 Mflops=1821.613 MByte/s=14572.901 
size=33554432 rep=10 Mflops=1845.573 MByte/s=14764.588 
size=67108864 rep=5 Mflops=1848.985 MByte/s=14791.880 
size=134217728 rep=2 Mflops=1805.486 MByte/s=14443.891 
size=268435456 rep=1 Mflops=1827.471 MByte/s=14619.765 
1flop 3xfloat
size=1024 rep=333333 Mflops=9332.143 MByte/s=111985.721 
size=2048 rep=166666 Mflops=9854.934 MByte/s=118259.212 
size=4096 rep=83333 Mflops=9681.746 MByte/s=116180.952 
size=8192 rep=41666 Mflops=10309.398 MByte/s=123712.773 
size=16384 rep=20833 Mflops=10241.223 MByte/s=122894.674 
size=32768 rep=10416 Mflops=9739.852 MByte/s=116878.223 
size=65536 rep=5208 Mflops=8365.705 MByte/s=100388.460 
size=131072 rep=2604 Mflops=7736.290 MByte/s=92835.485 
size=262144 rep=1302 Mflops=7757.096 MByte/s=93085.154 
size=524288 rep=651 Mflops=5391.492 MByte/s=64697.904 
size=1048576 rep=325 Mflops=1777.697 MByte/s=21332.360 
size=2097152 rep=162 Mflops=1657.789 MByte/s=19893.467 
size=4194304 rep=81 Mflops=1635.292 MByte/s=19623.499 
size=8388608 rep=40 Mflops=1624.807 MByte/s=19497.679 
size=16777216 rep=20 Mflops=1622.072 MByte/s=19464.862 
size=33554432 rep=10 Mflops=1638.051 MByte/s=19656.616 
size=67108864 rep=5 Mflops=1641.975 MByte/s=19703.699 
size=134217728 rep=2 Mflops=1609.360 MByte/s=19312.322 
size=268435456 rep=1 Mflops=1629.694 MByte/s=19556.328 
4flop 3xfloat
size=1024 rep=333333 Mflops=11752.589 MByte/s=35257.766 
size=2048 rep=166666 Mflops=12064.642 MByte/s=36193.926 
size=4096 rep=83333 Mflops=12224.350 MByte/s=36673.049 
size=8192 rep=41666 Mflops=12340.919 MByte/s=37022.757 
size=16384 rep=20833 Mflops=12372.663 MByte/s=37117.989 
size=32768 rep=10416 Mflops=12383.687 MByte/s=37151.060 
size=65536 rep=5208 Mflops=12274.542 MByte/s=36823.626 
size=131072 rep=2604 Mflops=12156.313 MByte/s=36468.940 
size=262144 rep=1302 Mflops=12354.351 MByte/s=37063.054 
size=524288 rep=651 Mflops=11911.462 MByte/s=35734.386 
size=1048576 rep=325 Mflops=6474.913 MByte/s=19424.738 
size=2097152 rep=162 Mflops=5965.396 MByte/s=17896.189 
size=4194304 rep=81 Mflops=5876.304 MByte/s=17628.911 
size=8388608 rep=40 Mflops=5812.251 MByte/s=17436.754 
size=16777216 rep=20 Mflops=5800.184 MByte/s=17400.553 
size=33554432 rep=10 Mflops=5861.020 MByte/s=17583.059 
size=67108864 rep=5 Mflops=5879.749 MByte/s=17639.248 
size=134217728 rep=2 Mflops=5780.244 MByte/s=17340.731 
size=268435456 rep=1 Mflops=5869.009 MByte/s=17607.027 
6flop 3xfloat
size=1024 rep=333333 Mflops=14523.812 MByte/s=29047.624 
size=2048 rep=166666 Mflops=14884.548 MByte/s=29769.096 
size=4096 rep=83333 Mflops=15044.565 MByte/s=30089.129 
size=8192 rep=41666 Mflops=15141.655 MByte/s=30283.311 
size=16384 rep=20833 Mflops=15142.558 MByte/s=30285.116 
size=32768 rep=10416 Mflops=15170.199 MByte/s=30340.399 
size=65536 rep=5208 Mflops=14893.187 MByte/s=29786.374 
size=131072 rep=2604 Mflops=14919.737 MByte/s=29839.475 
size=262144 rep=1302 Mflops=14780.371 MByte/s=29560.743 
size=524288 rep=651 Mflops=14317.888 MByte/s=28635.776 
size=1048576 rep=325 Mflops=9534.243 MByte/s=19068.486 
size=2097152 rep=162 Mflops=8795.809 MByte/s=17591.619 
size=4194304 rep=81 Mflops=8666.343 MByte/s=17332.686 
size=8388608 rep=40 Mflops=8565.137 MByte/s=17130.273 
size=16777216 rep=20 Mflops=8551.105 MByte/s=17102.210 
size=33554432 rep=10 Mflops=8635.468 MByte/s=17270.935 
size=67108864 rep=5 Mflops=8665.931 MByte/s=17331.861 
size=134217728 rep=2 Mflops=8544.193 MByte/s=17088.385 
size=268435456 rep=1 Mflops=8694.398 MByte/s=17388.797 
8flop 3xfloat
size=1024 rep=333333 Mflops=15886.016 MByte/s=23829.024 
size=2048 rep=166666 Mflops=16058.118 MByte/s=24087.177 
size=4096 rep=83333 Mflops=16305.902 MByte/s=24458.853 
size=8192 rep=41666 Mflops=16399.139 MByte/s=24598.708 
size=16384 rep=20833 Mflops=16449.815 MByte/s=24674.723 
size=32768 rep=10416 Mflops=16472.935 MByte/s=24709.403 
size=65536 rep=5208 Mflops=16429.443 MByte/s=24644.165 
size=131072 rep=2604 Mflops=16379.171 MByte/s=24568.756 
size=262144 rep=1302 Mflops=16426.371 MByte/s=24639.556 
size=524288 rep=651 Mflops=15965.690 MByte/s=23948.535 
size=1048576 rep=325 Mflops=12470.215 MByte/s=18705.323 
size=2097152 rep=162 Mflops=11635.090 MByte/s=17452.635 
size=4194304 rep=81 Mflops=11469.204 MByte/s=17203.806 
size=8388608 rep=40 Mflops=11353.064 MByte/s=17029.596 
size=16777216 rep=20 Mflops=11326.068 MByte/s=16989.102 
size=33554432 rep=10 Mflops=11438.032 MByte/s=17157.048 
size=67108864 rep=5 Mflops=11471.987 MByte/s=17207.980 
size=134217728 rep=2 Mflops=11347.782 MByte/s=17021.673 
size=268435456 rep=1 Mflops=11561.136 MByte/s=17341.704 
10flop 3xfloat
size=1024 rep=333333 Mflops=16120.132 MByte/s=19344.158 
size=2048 rep=166666 Mflops=16296.106 MByte/s=19555.327 
size=4096 rep=83333 Mflops=16359.314 MByte/s=19631.177 
size=8192 rep=41666 Mflops=16344.517 MByte/s=19613.421 
size=16384 rep=20833 Mflops=16538.111 MByte/s=19845.733 
size=32768 rep=10416 Mflops=16568.155 MByte/s=19881.786 
size=65536 rep=5208 Mflops=16548.024 MByte/s=19857.628 
size=131072 rep=2604 Mflops=16499.029 MByte/s=19798.835 
size=262144 rep=1302 Mflops=16495.734 MByte/s=19794.880 
size=524288 rep=651 Mflops=16295.507 MByte/s=19554.608 
size=1048576 rep=325 Mflops=14334.921 MByte/s=17201.905 
size=2097152 rep=162 Mflops=13711.207 MByte/s=16453.449 
size=4194304 rep=81 Mflops=13599.527 MByte/s=16319.433 
size=8388608 rep=40 Mflops=13464.606 MByte/s=16157.528 
size=16777216 rep=20 Mflops=13455.362 MByte/s=16146.434 
size=33554432 rep=10 Mflops=13525.938 MByte/s=16231.125 
size=67108864 rep=5 Mflops=13571.733 MByte/s=16286.079 
size=134217728 rep=2 Mflops=13434.620 MByte/s=16121.544 
size=268435456 rep=1 Mflops=13628.846 MByte/s=16354.615 
12flop 3xfloat
size=1024 rep=333333 Mflops=16073.686 MByte/s=16073.686 
