Compiler GNU
 Version 9.2.0
 CFLAGS -Ofast -march=native -funroll-all-loops -mavx2 -mavx
Total memory allocated 488 Mbytes
Loop size              40 Mfloats
Loop min size          4096 floats
Loop max size          42666666 floats
min:0.158350 max:0.158350 avg:0.158350 count: 1 
1flop 1xfloat
size=4096 rep=10416 Mflop/s=3978.784 MByte/s=15915.135 
size=8192 rep=5208 Mflop/s=3955.130 MByte/s=15820.519 
size=16384 rep=2604 Mflop/s=3974.324 MByte/s=15897.295 
size=32768 rep=1302 Mflop/s=3909.272 MByte/s=15637.087 
size=65536 rep=651 Mflop/s=3986.274 MByte/s=15945.095 
size=131072 rep=325 Mflop/s=3984.529 MByte/s=15938.114 
size=262144 rep=162 Mflop/s=3974.830 MByte/s=15899.321 
size=524288 rep=81 Mflop/s=3975.310 MByte/s=15901.239 
size=1048576 rep=40 Mflop/s=3955.168 MByte/s=15820.673 
size=2097152 rep=20 Mflop/s=3429.475 MByte/s=13717.902 
size=4194304 rep=10 Mflop/s=2229.396 MByte/s=8917.582 
size=8388608 rep=5 Mflop/s=2162.735 MByte/s=8650.939 
size=16777216 rep=2 Mflop/s=2161.468 MByte/s=8645.871 
size=33554432 rep=1 Mflop/s=2145.366 MByte/s=8581.465 
1flop 2xfloat
size=4096 rep=10416 Mflops=3938.359 MByte/s=31506.875 
size=8192 rep=5208 Mflops=3956.137 MByte/s=31649.094 
size=16384 rep=2604 Mflops=3973.837 MByte/s=31790.699 
size=32768 rep=1302 Mflops=3977.716 MByte/s=31821.731 
size=65536 rep=651 Mflops=3896.288 MByte/s=31170.301 
size=131072 rep=325 Mflops=3952.283 MByte/s=31618.263 
size=262144 rep=162 Mflops=3968.056 MByte/s=31744.450 
size=524288 rep=81 Mflops=3929.012 MByte/s=31432.096 
size=1048576 rep=40 Mflops=3227.579 MByte/s=25820.631 
size=2097152 rep=20 Mflops=1982.333 MByte/s=15858.661 
size=4194304 rep=10 Mflops=1922.842 MByte/s=15382.736 
size=8388608 rep=5 Mflops=1875.335 MByte/s=15002.678 
size=16777216 rep=2 Mflops=1880.354 MByte/s=15042.834 
size=33554432 rep=1 Mflops=1891.779 MByte/s=15134.228 
1flop 3xfloat
size=4096 rep=10416 Mflops=9526.068 MByte/s=114312.821 
size=8192 rep=5208 Mflops=10070.381 MByte/s=120844.576 
size=16384 rep=2604 Mflops=10337.151 MByte/s=124045.818 
size=32768 rep=1302 Mflops=9698.849 MByte/s=116386.185 
size=65536 rep=651 Mflops=8320.982 MByte/s=99851.779 
size=131072 rep=325 Mflops=7867.380 MByte/s=94408.558 
size=262144 rep=162 Mflops=7737.037 MByte/s=92844.446 
size=524288 rep=81 Mflops=5132.291 MByte/s=61587.487 
size=1048576 rep=40 Mflops=1880.055 MByte/s=22560.661 
size=2097152 rep=20 Mflops=1716.606 MByte/s=20599.277 
size=4194304 rep=10 Mflops=1705.638 MByte/s=20467.652 
size=8388608 rep=5 Mflops=1668.422 MByte/s=20021.069 
size=16777216 rep=2 Mflops=1677.418 MByte/s=20129.015 
