Total memory allocated 3906 Mbytes
Loop size              325 Mfloats
Loop min size          16384 floats
Loop max size          341333333 floats
min:1.930746 max:1.930746 avg:1.930746 count: 1 
1flop 1xfloat
size=16384 rep=20833 Mflop/s=4141.716 MByte/s=16566.862 
size=32768 rep=10416 Mflop/s=4091.554 MByte/s=16366.214 
size=65536 rep=5208 Mflop/s=3803.862 MByte/s=15215.448 
size=131072 rep=2604 Mflop/s=3378.240 MByte/s=13512.958 
size=262144 rep=1302 Mflop/s=3389.133 MByte/s=13556.531 
size=524288 rep=651 Mflop/s=3302.358 MByte/s=13209.431 
size=1048576 rep=325 Mflop/s=2764.947 MByte/s=11059.787 
size=2097152 rep=162 Mflop/s=2108.479 MByte/s=8433.915 
size=4194304 rep=81 Mflop/s=2111.597 MByte/s=8446.387 
size=8388608 rep=40 Mflop/s=2102.212 MByte/s=8408.847 
size=16777216 rep=20 Mflop/s=2095.740 MByte/s=8382.960 
size=33554432 rep=10 Mflop/s=2094.603 MByte/s=8378.413 
size=67108864 rep=5 Mflop/s=2106.721 MByte/s=8426.882 
size=134217728 rep=2 Mflop/s=2101.211 MByte/s=8404.845 
size=268435456 rep=1 Mflop/s=2106.918 MByte/s=8427.673 
1flop 2xfloat
size=16384 rep=20833 Mflops=3503.602 MByte/s=28028.814 
size=32768 rep=10416 Mflops=3320.922 MByte/s=26567.376 
size=65536 rep=5208 Mflops=2756.590 MByte/s=22052.716 
size=131072 rep=2604 Mflops=2704.715 MByte/s=21637.716 
size=262144 rep=1302 Mflops=2580.342 MByte/s=20642.733 
size=524288 rep=651 Mflops=2020.714 MByte/s=16165.715 
size=1048576 rep=325 Mflops=1472.430 MByte/s=11779.438 
size=2097152 rep=162 Mflops=1366.241 MByte/s=10929.929 
size=4194304 rep=81 Mflops=1348.492 MByte/s=10787.938 
size=8388608 rep=40 Mflops=1368.170 MByte/s=10945.363 
size=16777216 rep=20 Mflops=1373.953 MByte/s=10991.625 
size=33554432 rep=10 Mflops=1378.315 MByte/s=11026.524 
size=67108864 rep=5 Mflops=1373.099 MByte/s=10984.795 
size=134217728 rep=2 Mflops=1382.635 MByte/s=11061.076 
size=268435456 rep=1 Mflops=1400.643 MByte/s=11205.145 
1flop 3xfloat
size=16384 rep=20833 Mflops=3723.142 MByte/s=44677.700 
size=32768 rep=10416 Mflops=2573.412 MByte/s=30880.943 
size=65536 rep=5208 Mflops=2378.762 MByte/s=28545.150 
size=131072 rep=2604 Mflops=2316.361 MByte/s=27796.335 
size=262144 rep=1302 Mflops=1844.410 MByte/s=22132.921 
size=524288 rep=651 Mflops=1220.744 MByte/s=14648.931 
size=1048576 rep=325 Mflops=957.906 MByte/s=11494.871 
size=2097152 rep=162 Mflops=984.443 MByte/s=11813.315 
size=4194304 rep=81 Mflops=982.881 MByte/s=11794.572 
size=8388608 rep=40 Mflops=979.577 MByte/s=11754.920 
size=16777216 rep=20 Mflops=970.449 MByte/s=11645.394 
size=33554432 rep=10 Mflops=984.547 MByte/s=11814.563 
size=67108864 rep=5 Mflops=999.353 MByte/s=11992.237 
size=134217728 rep=2 Mflops=999.293 MByte/s=11991.513 
size=268435456 rep=1 Mflops=1011.505 MByte/s=12138.059 
4flop 3xfloat
size=16384 rep=20833 Mflops=7305.906 MByte/s=21917.718 
size=32768 rep=10416 Mflops=6589.667 MByte/s=19769.000 
size=65536 rep=5208 Mflops=6429.370 MByte/s=19288.109 
size=131072 rep=2604 Mflops=6391.362 MByte/s=19174.086 
size=262144 rep=1302 Mflops=5772.130 MByte/s=17316.391 
size=524288 rep=651 Mflops=4164.479 MByte/s=12493.436 
size=1048576 rep=325 Mflops=3959.529 MByte/s=11878.588 
size=2097152 rep=162 Mflops=3987.745 MByte/s=11963.234 
size=4194304 rep=81 Mflops=3991.819 MByte/s=11975.457 
size=8388608 rep=40 Mflops=3971.231 MByte/s=11913.692 
size=16777216 rep=20 Mflops=3988.520 MByte/s=11965.559 
size=33554432 rep=10 Mflops=3989.042 MByte/s=11967.125 
size=67108864 rep=5 Mflops=4029.229 MByte/s=12087.688 
size=134217728 rep=2 Mflops=4082.647 MByte/s=12247.940 
size=268435456 rep=1 Mflops=4113.980 MByte/s=12341.939 
6flop 3xfloat
size=16384 rep=20833 Mflops=9008.071 MByte/s=18016.142 
size=32768 rep=10416 Mflops=8666.713 MByte/s=17333.427 
size=65536 rep=5208 Mflops=8627.941 MByte/s=17255.883 
size=131072 rep=2604 Mflops=8616.196 MByte/s=17232.392 
size=262144 rep=1302 Mflops=7928.596 MByte/s=15857.193 
size=524288 rep=651 Mflops=6105.917 MByte/s=12211.834 
size=1048576 rep=325 Mflops=5857.461 MByte/s=11714.923 
size=2097152 rep=162 Mflops=5774.651 MByte/s=11549.302 
size=4194304 rep=81 Mflops=5938.546 MByte/s=11877.091 
size=8388608 rep=40 Mflops=5962.197 MByte/s=11924.394 
size=16777216 rep=20 Mflops=5892.756 MByte/s=11785.511 
size=33554432 rep=10 Mflops=5904.646 MByte/s=11809.292 
size=67108864 rep=5 Mflops=5968.906 MByte/s=11937.811 
size=134217728 rep=2 Mflops=6099.427 MByte/s=12198.854 
size=268435456 rep=1 Mflops=6146.214 MByte/s=12292.429 
8flop 3xfloat
size=16384 rep=20833 Mflops=10397.833 MByte/s=15596.750 
size=32768 rep=10416 Mflops=10133.847 MByte/s=15200.770 
size=65536 rep=5208 Mflops=10073.660 MByte/s=15110.490 
size=131072 rep=2604 Mflops=10029.383 MByte/s=15044.075 
size=262144 rep=1302 Mflops=9483.145 MByte/s=14224.717 
size=524288 rep=651 Mflops=7900.456 MByte/s=11850.684 
size=1048576 rep=325 Mflops=7627.245 MByte/s=11440.867 
size=2097152 rep=162 Mflops=7669.875 MByte/s=11504.813 
size=4194304 rep=81 Mflops=7662.937 MByte/s=11494.406 
size=8388608 rep=40 Mflops=7682.487 MByte/s=11523.731 
size=16777216 rep=20 Mflops=7674.330 MByte/s=11511.495 
size=33554432 rep=10 Mflops=7658.848 MByte/s=11488.272 
size=67108864 rep=5 Mflops=7756.540 MByte/s=11634.810 
size=134217728 rep=2 Mflops=7848.592 MByte/s=11772.888 
size=268435456 rep=1 Mflops=7909.725 MByte/s=11864.587 
10flop 3xfloat
size=16384 rep=20833 Mflops=10648.431 MByte/s=12778.117 
size=32768 rep=10416 Mflops=10603.810 MByte/s=12724.572 
size=65536 rep=5208 Mflops=10601.462 MByte/s=12721.755 
size=131072 rep=2604 Mflops=10551.881 MByte/s=12662.257 
size=262144 rep=1302 Mflops=9826.528 MByte/s=11791.834 
size=524288 rep=651 Mflops=8853.488 MByte/s=10624.186 
size=1048576 rep=325 Mflops=8666.070 MByte/s=10399.284 
size=2097152 rep=162 Mflops=8672.718 MByte/s=10407.262 
size=4194304 rep=81 Mflops=8600.668 MByte/s=10320.801 
size=8388608 rep=40 Mflops=8639.825 MByte/s=10367.790 
size=16777216 rep=20 Mflops=8665.416 MByte/s=10398.499 
size=33554432 rep=10 Mflops=8527.681 MByte/s=10233.218 
size=67108864 rep=5 Mflops=8754.940 MByte/s=10505.928 
size=134217728 rep=2 Mflops=8786.815 MByte/s=10544.178 
size=268435456 rep=1 Mflops=8744.294 MByte/s=10493.152 
12flop 3xfloat
size=16384 rep=20833 Mflops=10836.581 MByte/s=10836.581 
