Compiler GNU
 Version 9.2.0
 CFLAGS -Ofast -march=native -funroll-all-loops -mavx2 -mavx
Total memory allocated 11444 Mbytes 
Loop size              953 Mfloats
Loop min size          4096 floats
Loop max size          1000000000 floats
a[] = (float)k single thread
size=4096 rep=10000 Mcast/s=2092.622 MByte/s=8370.488 
size=8192 rep=10000 Mcast/s=2097.893 MByte/s=8391.573 
size=16384 rep=10000 Mcast/s=2121.377 MByte/s=8485.506 
size=32768 rep=10000 Mcast/s=2125.812 MByte/s=8503.249 
size=65536 rep=10000 Mcast/s=2124.885 MByte/s=8499.538 
size=131072 rep=7629 Mcast/s=2126.728 MByte/s=8506.911 
size=262144 rep=3814 Mcast/s=2119.396 MByte/s=8477.582 
size=524288 rep=1907 Mcast/s=2104.661 MByte/s=8418.643 
size=1048576 rep=953 Mcast/s=2109.659 MByte/s=8438.636 
size=2097152 rep=476 Mcast/s=2101.216 MByte/s=8404.865 
size=4194304 rep=238 Mcast/s=1913.197 MByte/s=7652.789 
size=8388608 rep=119 Mcast/s=1673.496 MByte/s=6693.986 
size=16777216 rep=59 Mcast/s=1651.529 MByte/s=6606.116 
size=33554432 rep=29 Mcast/s=1630.109 MByte/s=6520.435 
size=67108864 rep=14 Mcast/s=1584.411 MByte/s=6337.644 
size=134217728 rep=7 Mcast/s=1508.890 MByte/s=6035.559 
size=268435456 rep=3 Mcast/s=1344.822 MByte/s=5379.289 
size=536870912 rep=1 Mcast/s=1008.076 MByte/s=4032.304 
a[] = (float)k*m single thread
size=4096 rep=10000 Mflop/s=2094.395 MByte/s=8377.581 
size=8192 rep=10000 Mflop/s=2102.599 MByte/s=8410.396 
size=16384 rep=10000 Mflop/s=2117.230 MByte/s=8468.921 
size=32768 rep=10000 Mflop/s=2126.530 MByte/s=8506.120 
size=65536 rep=10000 Mflop/s=2126.634 MByte/s=8506.538 
size=131072 rep=7629 Mflop/s=2122.897 MByte/s=8491.586 
size=262144 rep=3814 Mflop/s=2110.664 MByte/s=8442.657 
size=524288 rep=1907 Mflop/s=2104.996 MByte/s=8419.985 
size=1048576 rep=953 Mflop/s=2101.470 MByte/s=8405.881 
size=2097152 rep=476 Mflop/s=2106.844 MByte/s=8427.376 
