Compiler GNU
 Version 9.2.0
 CFLAGS -Ofast -march=native -mfma -mavx -funroll-all-loops
Total memory allocated 11444 Mbytes 
Loop size              953 Mfloats
Loop min size          4096 floats
Loop max size          1000000000 floats
a[] = (float)k single thread
size=4096 rep=10000 Mcast/s=1590.982 MByte/s=6363.929 
size=8192 rep=10000 Mcast/s=1969.879 MByte/s=7879.516 
size=16384 rep=10000 Mcast/s=1989.475 MByte/s=7957.900 
size=32768 rep=10000 Mcast/s=2053.855 MByte/s=8215.418 
size=65536 rep=10000 Mcast/s=2031.254 MByte/s=8125.017 
size=131072 rep=7629 Mcast/s=2038.652 MByte/s=8154.608 
size=262144 rep=3814 Mcast/s=2035.367 MByte/s=8141.468 
size=524288 rep=1907 Mcast/s=1191.906 MByte/s=4767.622 
size=1048576 rep=953 Mcast/s=1619.952 MByte/s=6479.808 
size=2097152 rep=476 Mcast/s=1795.330 MByte/s=7181.319 
size=4194304 rep=238 Mcast/s=1802.155 MByte/s=7208.618 
size=8388608 rep=119 Mcast/s=1807.658 MByte/s=7230.631 
size=16777216 rep=59 Mcast/s=1794.986 MByte/s=7179.944 
size=33554432 rep=29 Mcast/s=1785.250 MByte/s=7141.001 
size=67108864 rep=14 Mcast/s=1739.948 MByte/s=6959.792 
size=134217728 rep=7 Mcast/s=1667.987 MByte/s=6671.948 
size=268435456 rep=3 Mcast/s=1470.156 MByte/s=5880.625 
size=536870912 rep=1 Mcast/s=1023.568 MByte/s=4094.271 
a[] = (float)k*m single thread
size=4096 rep=10000 Mflop/s=1558.863 MByte/s=6235.452 
size=8192 rep=10000 Mflop/s=1535.635 MByte/s=6142.541 
size=16384 rep=10000 Mflop/s=1526.455 MByte/s=6105.820 
size=32768 rep=10000 Mflop/s=1555.624 MByte/s=6222.497 
size=65536 rep=10000 Mflop/s=1550.374 MByte/s=6201.495 
size=131072 rep=7629 Mflop/s=1544.004 MByte/s=6176.016 
size=262144 rep=3814 Mflop/s=1543.844 MByte/s=6175.377 
size=524288 rep=1907 Mflop/s=1536.599 MByte/s=6146.397 
size=1048576 rep=953 Mflop/s=1506.511 MByte/s=6026.046 
size=2097152 rep=476 Mflop/s=1160.335 MByte/s=4641.339 
size=4194304 rep=238 Mflop/s=1202.427 MByte/s=4809.707 
