Compiler GNU
 Version 9.2.0
 CFLAGS -Ofast -march=native -funroll-all-loops -mavx2 -mavx
Total memory allocated 11444 Mbytes 
Loop size              953 Mfloats
Loop min size          4096 floats
Loop max size          1000000000 floats
a[] = (float)k single thread
size=4096 rep=10000 Mcast/s=1802.092 MByte/s=7208.369 
size=8192 rep=10000 Mcast/s=1823.120 MByte/s=7292.479 
size=16384 rep=10000 Mcast/s=1830.711 MByte/s=7322.844 
size=32768 rep=10000 Mcast/s=1834.262 MByte/s=7337.047 
size=65536 rep=10000 Mcast/s=1835.800 MByte/s=7343.201 
size=131072 rep=7629 Mcast/s=1834.070 MByte/s=7336.278 
size=262144 rep=3814 Mcast/s=1831.894 MByte/s=7327.577 
size=524288 rep=1907 Mcast/s=1830.356 MByte/s=7321.422 
size=1048576 rep=953 Mcast/s=1829.582 MByte/s=7318.328 
size=2097152 rep=476 Mcast/s=1766.369 MByte/s=7065.477 
size=4194304 rep=238 Mcast/s=1513.338 MByte/s=6053.350 
size=8388608 rep=119 Mcast/s=1516.231 MByte/s=6064.925 
size=16777216 rep=59 Mcast/s=1500.953 MByte/s=6003.813 
size=33554432 rep=29 Mcast/s=1472.248 MByte/s=5888.992 
size=67108864 rep=14 Mcast/s=1427.114 MByte/s=5708.457 
size=134217728 rep=7 Mcast/s=1353.094 MByte/s=5412.377 
size=268435456 rep=3 Mcast/s=1196.411 MByte/s=4785.644 
size=536870912 rep=1 Mcast/s=879.694 MByte/s=3518.778 
a[] = (float)k*m single thread
size=4096 rep=10000 Mflop/s=1362.083 MByte/s=5448.334 
size=8192 rep=10000 Mflop/s=1369.723 MByte/s=5478.893 
size=16384 rep=10000 Mflop/s=1374.287 MByte/s=5497.148 
size=32768 rep=10000 Mflop/s=1376.532 MByte/s=5506.127 
size=65536 rep=10000 Mflop/s=1377.272 MByte/s=5509.087 
size=131072 rep=7629 Mflop/s=1375.922 MByte/s=5503.688 
size=262144 rep=3814 Mflop/s=1376.295 MByte/s=5505.178 
size=524288 rep=1907 Mflop/s=1375.246 MByte/s=5500.982 
size=1048576 rep=953 Mflop/s=1374.944 MByte/s=5499.776 
size=2097152 rep=476 Mflop/s=1339.819 MByte/s=5359.276 
