Compiler GNU
 Version 9.2.1
 CFLAGS -Ofast -march=native -funroll-all-loops -mavx2 -mavx
Total memory allocated 11444 Mbytes 
Loop size              953 Mfloats
Loop min size          4096 floats
Loop max size          1000000000 floats
a[] = (float)k single thread
size=4096 rep=10000 Mcast/s=1231.632 MByte/s=4926.527 
size=8192 rep=10000 Mcast/s=1846.847 MByte/s=7387.388 
size=16384 rep=10000 Mcast/s=1851.477 MByte/s=7405.907 
size=32768 rep=10000 Mcast/s=1854.335 MByte/s=7417.341 
size=65536 rep=10000 Mcast/s=1855.946 MByte/s=7423.784 
size=131072 rep=7629 Mcast/s=1853.632 MByte/s=7414.529 
size=262144 rep=3814 Mcast/s=1852.608 MByte/s=7410.431 
size=524288 rep=1907 Mcast/s=1856.529 MByte/s=7426.115 
size=1048576 rep=953 Mcast/s=1781.442 MByte/s=7125.768 
size=2097152 rep=476 Mcast/s=1541.541 MByte/s=6166.164 
size=4194304 rep=238 Mcast/s=1531.684 MByte/s=6126.734 
size=8388608 rep=119 Mcast/s=1535.657 MByte/s=6142.628 
size=16777216 rep=59 Mcast/s=1528.712 MByte/s=6114.847 
size=33554432 rep=29 Mcast/s=1511.463 MByte/s=6045.854 
size=67108864 rep=14 Mcast/s=1482.055 MByte/s=5928.222 
size=134217728 rep=7 Mcast/s=1426.074 MByte/s=5704.296 
size=268435456 rep=3 Mcast/s=1297.010 MByte/s=5188.041 
size=536870912 rep=1 Mcast/s=924.886 MByte/s=3699.543 
a[] = (float)k*m single thread
size=4096 rep=10000 Mflop/s=1627.863 MByte/s=6511.450 
size=8192 rep=10000 Mflop/s=1779.145 MByte/s=7116.580 
size=16384 rep=10000 Mflop/s=1849.750 MByte/s=7398.999 
size=32768 rep=10000 Mflop/s=1854.506 MByte/s=7418.024 
size=65536 rep=10000 Mflop/s=1844.273 MByte/s=7377.091 
size=131072 rep=7629 Mflop/s=1840.737 MByte/s=7362.948 
size=262144 rep=3814 Mflop/s=1836.420 MByte/s=7345.681 
size=524288 rep=1907 Mflop/s=1837.577 MByte/s=7350.309 
size=1048576 rep=953 Mflop/s=1838.574 MByte/s=7354.295 
size=2097152 rep=476 Mflop/s=1486.301 MByte/s=5945.204 
