Compiler GNU
 Version 9.2.0
 CFLAGS -Ofast -march=native -funroll-all-loops -mavx2 -mavx
Total memory allocated 11444 Mbytes 
Loop size              953 Mfloats
Loop min size          4096 floats
Loop max size          1000000000 floats
a[] = (float)k single thread
size=4096 rep=10000 Mcast/s=2077.348 MByte/s=8309.391 
size=8192 rep=10000 Mcast/s=2093.961 MByte/s=8375.843 
size=16384 rep=10000 Mcast/s=2089.829 MByte/s=8359.315 
size=32768 rep=10000 Mcast/s=2028.684 MByte/s=8114.736 
size=65536 rep=10000 Mcast/s=2055.856 MByte/s=8223.426 
size=131072 rep=7629 Mcast/s=2063.711 MByte/s=8254.843 
size=262144 rep=3814 Mcast/s=2098.883 MByte/s=8395.534 
size=524288 rep=1907 Mcast/s=2058.836 MByte/s=8235.345 
size=1048576 rep=953 Mcast/s=2067.718 MByte/s=8270.872 
size=2097152 rep=476 Mcast/s=2049.246 MByte/s=8196.985 
size=4194304 rep=238 Mcast/s=1829.144 MByte/s=7316.577 
size=8388608 rep=119 Mcast/s=1668.223 MByte/s=6672.893 
size=16777216 rep=59 Mcast/s=1635.273 MByte/s=6541.093 
size=33554432 rep=29 Mcast/s=1597.738 MByte/s=6390.952 
size=67108864 rep=14 Mcast/s=1586.508 MByte/s=6346.033 
size=134217728 rep=7 Mcast/s=1517.769 MByte/s=6071.075 
size=268435456 rep=3 Mcast/s=1320.010 MByte/s=5280.039 
size=536870912 rep=1 Mcast/s=951.954 MByte/s=3807.815 
a[] = (float)k*m single thread
size=4096 rep=10000 Mflop/s=2187.910 MByte/s=8751.640 
size=8192 rep=10000 Mflop/s=2230.231 MByte/s=8920.925 
size=16384 rep=10000 Mflop/s=2238.025 MByte/s=8952.102 
size=32768 rep=10000 Mflop/s=2234.009 MByte/s=8936.035 
size=65536 rep=10000 Mflop/s=2238.539 MByte/s=8954.156 
size=131072 rep=7629 Mflop/s=2216.515 MByte/s=8866.059 
size=262144 rep=3814 Mflop/s=2196.284 MByte/s=8785.135 
size=524288 rep=1907 Mflop/s=2199.357 MByte/s=8797.428 
size=1048576 rep=953 Mflop/s=2199.893 MByte/s=8799.574 
size=2097152 rep=476 Mflop/s=2196.508 MByte/s=8786.034 
